activity_comment,activity_id,activity_properties,assay_chembl_id,assay_description,assay_type,assay_variant_accession,assay_variant_mutation,bao_endpoint,bao_format,bao_label,canonical_smiles,data_validity_comment,data_validity_description,document_chembl_id,document_journal,document_year,ligand_efficiency,molecule_chembl_id,molecule_pref_name,parent_molecule_chembl_id,pchembl_value,potential_duplicate,qudt_units,record_id,relation,src_id,standard_flag,standard_relation,standard_text_value,standard_type,standard_units,standard_upper_value,standard_value,target_chembl_id,target_organism,target_pref_name,target_tax_id,text_value,toid,type,units,uo_units,upper_value,value
,18893658,[],CHEMBL4315144,Antiviral activity against MERS-CoV KOR/KNIH/002_05_2015 infected in African green monkey Vero cells expressing viral spike protein by immunofluorescence assay,F,,,BAO_0000190,BAO_0000218,organism-based format,CC(=O)c1c(NC(C)C)[nH]c2c(C(F)(F)F)cc(Cl)cc2c1=O,,,CHEMBL4311996,Bioorg Med Chem Lett,2019,,CHEMBL4471536,,CHEMBL4471536,6.11,False,http://www.openphacts.org/units/Nanomolar,3152357,=,1,True,=,,IC50,nM,,770.0,CHEMBL4296578,Middle East respiratory syndrome-related coronavirus,Middle East respiratory syndrome-related coronavirus,1335626,,,IC50,uM,UO_0000065,,0.77
,18893659,[],CHEMBL4315144,Antiviral activity against MERS-CoV KOR/KNIH/002_05_2015 infected in African green monkey Vero cells expressing viral spike protein by immunofluorescence assay,F,,,BAO_0000190,BAO_0000218,organism-based format,CC(=O)c1c(NC(C)C)[nH]c2c(C(C)C)cccc2c1=O,,,CHEMBL4311996,Bioorg Med Chem Lett,2019,,CHEMBL4472908,,CHEMBL4472908,,False,http://www.openphacts.org/units/Nanomolar,3152358,>,1,True,>,,IC50,nM,,25000.0,CHEMBL4296578,Middle East respiratory syndrome-related coronavirus,Middle East respiratory syndrome-related coronavirus,1335626,,,IC50,uM,UO_0000065,,25.0
,18893660,[],CHEMBL4315144,Antiviral activity against MERS-CoV KOR/KNIH/002_05_2015 infected in African green monkey Vero cells expressing viral spike protein by immunofluorescence assay,F,,,BAO_0000190,BAO_0000218,organism-based format,CC(=O)c1c(NC(C)C)[nH]c2c(C)cc(C)cc2c1=O,,,CHEMBL4311996,Bioorg Med Chem Lett,2019,,CHEMBL4580358,,CHEMBL4580358,,False,http://www.openphacts.org/units/Nanomolar,3152359,>,1,True,>,,IC50,nM,,25000.0,CHEMBL4296578,Middle East respiratory syndrome-related coronavirus,Middle East respiratory syndrome-related coronavirus,1335626,,,IC50,uM,UO_0000065,,25.0
,18893661,[],CHEMBL4315144,Antiviral activity against MERS-CoV KOR/KNIH/002_05_2015 infected in African green monkey Vero cells expressing viral spike protein by immunofluorescence assay,F,,,BAO_0000190,BAO_0000218,organism-based format,CC(C)Nc1[nH]c2c(C(F)(F)F)cc(Cl)cc2c(=O)c1C(=O)c1ccccc1,,,CHEMBL4311996,Bioorg Med Chem Lett,2019,,CHEMBL4531009,,CHEMBL4531009,,False,http://www.openphacts.org/units/Nanomolar,3152360,>,1,True,>,,IC50,nM,,25000.0,CHEMBL4296578,Middle East respiratory syndrome-related coronavirus,Middle East respiratory syndrome-related coronavirus,1335626,,,IC50,uM,UO_0000065,,25.0
,18893662,[],CHEMBL4315144,Antiviral activity against MERS-CoV KOR/KNIH/002_05_2015 infected in African green monkey Vero cells expressing viral spike protein by immunofluorescence assay,F,,,BAO_0000190,BAO_0000218,organism-based format,CC(=O)c1c(Nc2ccc(F)cc2F)[nH]c2c(C(F)(F)F)cc(Cl)cc2c1=O,,,CHEMBL4311996,Bioorg Med Chem Lett,2019,,CHEMBL4554138,,CHEMBL4554138,6.82,False,http://www.openphacts.org/units/Nanomolar,3152361,=,1,True,=,,IC50,nM,,150.0,CHEMBL4296578,Middle East respiratory syndrome-related coronavirus,Middle East respiratory syndrome-related coronavirus,1335626,,,IC50,uM,UO_0000065,,0.15
,18893663,[],CHEMBL4315144,Antiviral activity against MERS-CoV KOR/KNIH/002_05_2015 infected in African green monkey Vero cells expressing viral spike protein by immunofluorescence assay,F,,,BAO_0000190,BAO_0000218,organism-based format,CC(=O)c1c(Nc2ccc(F)cc2F)[nH]c2c(F)cc(Cl)cc2c1=O,,,CHEMBL4311996,Bioorg Med Chem Lett,2019,,CHEMBL4530008,,CHEMBL4530008,6.01,False,http://www.openphacts.org/units/Nanomolar,3152356,=,1,True,=,,IC50,nM,,980.0,CHEMBL4296578,Middle East respiratory syndrome-related coronavirus,Middle East respiratory syndrome-related coronavirus,1335626,,,IC50,uM,UO_0000065,,0.98
,18893664,[],CHEMBL4315144,Antiviral activity against MERS-CoV KOR/KNIH/002_05_2015 infected in African green monkey Vero cells expressing viral spike protein by immunofluorescence assay,F,,,BAO_0000190,BAO_0000218,organism-based format,CC(=O)c1c(Nc2ccc(F)cc2F)[nH]c2c([N+](=O)[O-])cc(Cl)cc2c1=O,,,CHEMBL4311996,Bioorg Med Chem Lett,2019,,CHEMBL4573119,,CHEMBL4573119,5.94,False,http://www.openphacts.org/units/Nanomolar,3152362,=,1,True,=,,IC50,nM,,1160.0,CHEMBL4296578,Middle East respiratory syndrome-related coronavirus,Middle East respiratory syndrome-related coronavirus,1335626,,,IC50,uM,UO_0000065,,1.16
,18893665,[],CHEMBL4315144,Antiviral activity against MERS-CoV KOR/KNIH/002_05_2015 infected in African green monkey Vero cells expressing viral spike protein by immunofluorescence assay,F,,,BAO_0000190,BAO_0000218,organism-based format,CC(=O)c1c(Nc2ccc(F)cc2F)[nH]c2c(F)cc(F)cc2c1=O,,,CHEMBL4311996,Bioorg Med Chem Lett,2019,,CHEMBL4554248,,CHEMBL4554248,5.97,False,http://www.openphacts.org/units/Nanomolar,3152363,=,1,True,=,,IC50,nM,,1060.0,CHEMBL4296578,Middle East respiratory syndrome-related coronavirus,Middle East respiratory syndrome-related coronavirus,1335626,,,IC50,uM,UO_0000065,,1.06
,18893666,[],CHEMBL4315144,Antiviral activity against MERS-CoV KOR/KNIH/002_05_2015 infected in African green monkey Vero cells expressing viral spike protein by immunofluorescence assay,F,,,BAO_0000190,BAO_0000218,organism-based format,CC(=O)c1c(Nc2ccc(F)cc2F)[nH]c2c(Cl)cc(Cl)c(Cl)c2c1=O,,,CHEMBL4311996,Bioorg Med Chem Lett,2019,,CHEMBL4565616,,CHEMBL4565616,6.54,False,http://www.openphacts.org/units/Nanomolar,3152364,=,1,True,=,,IC50,nM,,290.0,CHEMBL4296578,Middle East respiratory syndrome-related coronavirus,Middle East respiratory syndrome-related coronavirus,1335626,,,IC50,uM,UO_0000065,,0.29
,18893667,[],CHEMBL4315144,Antiviral activity against MERS-CoV KOR/KNIH/002_05_2015 infected in African green monkey Vero cells expressing viral spike protein by immunofluorescence assay,F,,,BAO_0000190,BAO_0000218,organism-based format,CC(=O)c1c(N2CCCCC2)[nH]c2c(F)cc(F)cc2c1=O,,,CHEMBL4311996,Bioorg Med Chem Lett,2019,,CHEMBL4460922,,CHEMBL4460922,,False,http://www.openphacts.org/units/Nanomolar,3152365,>,1,True,>,,IC50,nM,,25000.0,CHEMBL4296578,Middle East respiratory syndrome-related coronavirus,Middle East respiratory syndrome-related coronavirus,1335626,,,IC50,uM,UO_0000065,,25.0
